FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
12.75,4.50194,1.49658,0,39.2024,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13,1.16206,0.91963,0,43.364,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.25,1.35518,1.13723,0,41.8252,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.5,2.72784,0.917448,0,39.2123,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
13.75,1.13258,0.957346,0,37.9494,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14,1.30627,1.33382,0,40.7249,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14.25,2.13423,1.09798,0,41.4412,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14.5,1.13039,0.912672,0,38.7349,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
14.75,4.58652,0.917064,0,40.6648,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
12,1.27823,0.95561,0,40.2577,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
12.2,1.37133,0.914415,0,40.0503,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
12.4,0.780972,0.944945,0,37.177,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
12.6,1.35664,1.53591,0,40.519,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
12.8,0.985552,1.08607,0,41.7917,0.005455,0.038165,0.062046,0,0.036315,0,0,1,0,0,0,0,0,0
